Date,Time,CO2
2024-11-11,20:50:56,652.00
2024-11-11,20:53:21,724.00
2024-11-11,20:55:51,694.00
2024-11-11,20:58:19,687.00
2024-11-11,21:00:51,786.00
2024-11-11,21:03:19,774.00
2024-11-11,21:15:49,635.00
2024-11-11,21:20:53,613.00
2024-11-11,21:25:49,580.00
2024-11-11,21:30:55,511.00
2024-11-11,21:35:49,518.00
2024-11-11,21:40:53,491.00
2024-11-11,21:45:49,449.00
2024-11-11,21:50:55,473.00
2024-11-11,21:55:48,481.00
2024-11-11,22:00:53,470.00
2024-11-11,22:05:48,452.00
2024-11-11,22:10:55,457.00
2024-11-11,22:15:48,468.00
2024-11-11,22:20:52,459.00
2024-11-11,22:25:47,477.00
2024-11-11,22:30:54,460.00
2024-11-11,22:35:49,450.00
2024-11-11,22:40:53,480.00
2024-11-11,22:45:49,482.00
2024-11-11,22:50:55,474.00
2024-11-11,22:55:49,456.00
2024-11-11,23:00:53,448.00
2024-11-11,23:05:48,468.00
2024-11-11,23:10:54,475.00
2024-11-11,23:15:47,478.00
2024-11-11,23:20:52,455.00
2024-11-11,23:25:48,473.00
2024-11-11,23:30:55,499.00
2024-11-11,23:35:49,492.00
2024-11-11,23:40:53,486.00
2024-11-11,23:45:48,475.00
2024-11-11,23:50:55,462.00
2024-11-11,23:55:48,448.00
2024-11-12,00:00:51,464.00
2024-11-12,00:05:48,456.00
2024-11-12,00:10:54,468.00
2024-11-12,00:15:47,474.00
2024-11-12,00:20:52,480.00
2024-11-12,00:25:48,495.00
2024-11-12,00:30:54,471.00
2024-11-12,00:35:48,464.00
2024-11-12,00:40:52,472.00
2024-11-12,00:45:46,498.00
2024-11-12,00:50:53,506.00
2024-11-12,00:55:48,460.00
2024-11-12,01:00:52,464.00
2024-11-12,01:05:49,495.00
2024-11-12,01:10:55,476.00
2024-11-12,01:15:47,466.00
2024-11-12,01:20:51,458.00
2024-11-12,01:25:48,449.00
2024-11-12,01:30:54,456.00
2024-11-12,01:35:48,468.00
2024-11-12,01:40:53,474.00
2024-11-12,01:45:48,472.00
2024-11-12,01:50:54,438.00
2024-11-12,01:55:49,445.00
2024-11-12,02:00:53,471.00
2024-11-12,02:05:47,459.00
2024-11-12,02:10:54,464.00
2024-11-12,02:15:49,459.00
2024-11-12,02:20:52,446.00
2024-11-12,02:25:48,449.00
2024-11-12,02:30:54,466.00
2024-11-12,02:35:48,495.00
2024-11-12,02:40:53,503.00
2024-11-12,02:45:49,469.00
2024-11-12,02:50:55,453.00
