recorded;RADON_SHORT_TERM_AVG pCi/L;PM2_5 μg/m3;CO2 ppm;HUMIDITY %;TEMP °F;VOC ppb;PRESSURE inHg;PM1 μg/m3
2024-11-11T20:50:54;0.14;;;;;;;
2024-11-11T20:50:56;;;652.00;34.26;80.06;;;
2024-11-11T20:50:58;;0.00;;;;46.00;29.41;0.00
2024-11-11T20:53:21;;;724.00;28.52;80.42;;;
2024-11-11T20:53:23;;0.00;;;;;;0.00
2024-11-11T20:55:51;;;694.00;29.66;80.28;;;
2024-11-11T20:55:53;;0.00;;;;88.00;29.41;0.00
2024-11-11T20:58:19;;;687.00;30.54;79.84;;;
2024-11-11T20:58:21;;0.00;;;;;;0.00
2024-11-11T21:00:51;;;786.00;29.59;79.61;;;
2024-11-11T21:00:53;;0.00;;;;166.00;29.41;0.00
2024-11-11T21:03:19;;;774.00;30.74;79.39;;;
2024-11-11T21:03:21;;0.00;;;;;;0.00
2024-11-11T21:15:49;;;635.00;29.54;78.24;;;
2024-11-11T21:15:51;;;;;;1409.00;29.42;
2024-11-11T21:20:53;;;613.00;29.69;76.66;;;
2024-11-11T21:20:55;;1.00;;;;63.00;29.42;0.00
2024-11-11T21:25:49;;;580.00;29.96;75.54;;;
2024-11-11T21:25:51;;;;;;41.00;29.42;
2024-11-11T21:30:53;0.19;;;;;;;
2024-11-11T21:30:55;;;511.00;30.81;74.52;;;
2024-11-11T21:30:57;;0.00;;;;84.00;29.42;0.00
2024-11-11T21:35:49;;;518.00;31.15;74.52;;;
2024-11-11T21:35:51;;;;;;72.00;29.42;
2024-11-11T21:40:53;;;491.00;31.35;74.30;;;
2024-11-11T21:40:55;;0.00;;;;80.00;29.42;0.00
2024-11-11T21:45:49;;;449.00;31.57;74.19;;;
2024-11-11T21:45:51;;;;;;76.00;29.42;
2024-11-11T21:50:53;0.19;;;;;;;
2024-11-11T21:50:55;;;473.00;31.80;74.07;;;
2024-11-11T21:50:57;;0.00;;;;69.00;29.42;0.00
2024-11-11T21:55:48;;;481.00;31.98;73.90;;;
2024-11-11T21:55:50;;;;;;50.00;29.42;
2024-11-11T22:00:53;;;470.00;32.09;73.62;;;
2024-11-11T22:00:55;;0.00;;;;46.00;29.42;0.00
2024-11-11T22:05:48;;;452.00;32.13;73.51;;;
2024-11-11T22:05:50;;;;;;63.00;29.43;
2024-11-11T22:10:53;0.19;;;;;;;
2024-11-11T22:10:55;;;457.00;32.25;73.51;;;
2024-11-11T22:10:57;;0.00;;;;59.00;29.43;0.00
2024-11-11T22:15:48;;;468.00;32.37;73.17;;;
2024-11-11T22:15:50;;;;;;63.00;29.43;
